table,column,dtype,missing_frac,nonfinite_frac,n_unique
metadata_df,ok,bool,0.0,0.0,1
metadata_df,source_path,object,0.0,,33098
metadata_df,run_id,object,0.0,,8846
metadata_df,profile_hash,object,0.0,,16542
metadata_df,n_x,int64,0.0,0.0,1225
metadata_df,n_t,int64,0.0,0.0,2862
metadata_df,x_min,float64,0.0,0.0,1
metadata_df,x_max,float64,0.0,0.0,2520
metadata_df,z_min,float64,0.0,0.0,14351
metadata_df,z_max,float64,0.0,0.0,11651
metadata_df,t_min,float64,0.0,0.0,1
metadata_df,t_max,float64,0.0,0.0,16416
metadata_df,Hs,float64,0.0,0.0,6125
metadata_df,Tp,float64,0.0,0.0,45
metadata_df,t_prop,float64,0.0,0.0,16543
metadata_df,Xc_WK,float64,0.0,0.0,45
metadata_df,has_period_var,bool,0.0,0.0,1
metadata_df,period_len,int64,0.0,0.0,1
metadata_df,file_size_mb,float64,0.0,0.0,8110
run_df,run_id,object,0.0,,3848
run_df,profile_hash,object,0.0,,4627
run_df,cache_path,object,0.0,,5000
run_df,source_path,object,0.0,,5000
run_df,n_stations,int64,0.0,0.0,1
run_df,nt,int64,0.0,0.0,669
run_df,dt,float64,0.0,0.0,1
run_df,Hs,float64,0.0,0.0,3375
run_df,Tp,float64,0.0,0.0,43
run_df,offshore_x,float64,0.0,0.0,74
run_df,offshore_depth,float64,0.0,0.0,4234
run_df,trim_start,float64,0.0,0.0,4627
sample_manifest_df,cache_path,object,0.0,,5000
sample_manifest_df,run_id,object,0.0,,3848
sample_manifest_df,profile_hash,object,0.0,,4627
sample_manifest_df,station_id,object,0.0,,10
sample_manifest_df,station_rank,int64,0.0,0.0,10
sample_manifest_df,station_label,object,0.0,,41145
sample_manifest_df,n_samples,int64,0.0,0.0,669
sample_manifest_df,duration_s,float64,0.0,0.0,880
sample_manifest_df,depth_target,float64,0.0,0.0,34757
sample_manifest_df,x_target,float64,0.0,0.0,8253
sample_manifest_df,dx_to_offshore,float64,0.0,0.0,8537
sample_manifest_df,tau_path,float64,0.0,0.0,46270
sample_manifest_df,shoaling_gain_path,float64,0.0,0.0,46228
sample_manifest_df,local_slope,float64,0.0,0.0,32880
sample_manifest_df,wet_fraction,float64,0.0,0.0,4452
sample_manifest_df,target_std,float64,0.0,0.0,46231
sample_manifest_df,Hs,float64,0.0,0.0,3375
sample_manifest_df,Tp,float64,0.0,0.0,43
