category,file_name,relative_path,size_kb
figures,dataset_overview_summary_table.png,funwave_capstone_report_support_outputs\figures\dataset_overview_summary_table.png,90.73
figures,depth_bin_performance_curves.png,funwave_capstone_report_support_outputs\figures\depth_bin_performance_curves.png,145.46
figures,eda_feature_distributions.png,funwave_capstone_report_support_outputs\figures\eda_feature_distributions.png,128.93
figures,eda_hs_vs_tp_scatter.png,funwave_capstone_report_support_outputs\figures\eda_hs_vs_tp_scatter.png,79.97
figures,example_stationization_from_ready_notebook.png,funwave_capstone_report_support_outputs\figures\example_stationization_from_ready_notebook.png,218.7
figures,example_test_station_predictions_from_ready_notebook.png,funwave_capstone_report_support_outputs\figures\example_test_station_predictions_from_ready_notebook.png,379.48
figures,heldout_model_comparison_compact.png,funwave_capstone_report_support_outputs\figures\heldout_model_comparison_compact.png,99.49
figures,heldout_model_comparison_table.png,funwave_capstone_report_support_outputs\figures\heldout_model_comparison_table.png,56.57
figures,metric_glossary_table.png,funwave_capstone_report_support_outputs\figures\metric_glossary_table.png,86.01
figures,model_training_configuration_table.png,funwave_capstone_report_support_outputs\figures\model_training_configuration_table.png,80.04
figures,preprocessing_summary_table.png,funwave_capstone_report_support_outputs\figures\preprocessing_summary_table.png,54.85
figures,scalar_feature_correlation_heatmap.png,funwave_capstone_report_support_outputs\figures\scalar_feature_correlation_heatmap.png,139.57
figures,split_distribution_comparison.png,funwave_capstone_report_support_outputs\figures\split_distribution_comparison.png,57.14
figures,stage2_training_curve_recovered.png,funwave_capstone_report_support_outputs\figures\stage2_training_curve_recovered.png,51.27
figures,stage2_training_history_from_ready_notebook.png,funwave_capstone_report_support_outputs\figures\stage2_training_history_from_ready_notebook.png,45.81
figures,stage3_error_distributions.png,funwave_capstone_report_support_outputs\figures\stage3_error_distributions.png,55.76
figures,stage3_rmse_vs_wet_fraction.png,funwave_capstone_report_support_outputs\figures\stage3_rmse_vs_wet_fraction.png,51.76
figures,stage3_training_curve_recovered.png,funwave_capstone_report_support_outputs\figures\stage3_training_curve_recovered.png,45.98
figures,stage3_training_history_from_ready_notebook.png,funwave_capstone_report_support_outputs\figures\stage3_training_history_from_ready_notebook.png,44.36
figures,test_comparison_summary_from_ready_notebook.png,funwave_capstone_report_support_outputs\figures\test_comparison_summary_from_ready_notebook.png,62.16
figures,training_history_summary_table.png,funwave_capstone_report_support_outputs\figures\training_history_summary_table.png,34.41
figures,variable_dictionary_table.png,funwave_capstone_report_support_outputs\figures\variable_dictionary_table.png,175.61
notes,report_ready_notes.md,funwave_capstone_report_support_outputs\notes\report_ready_notes.md,2.12
tables,best_model_by_metric.csv,funwave_capstone_report_support_outputs\tables\best_model_by_metric.csv,0.32
tables,data_quality_audit.csv,funwave_capstone_report_support_outputs\tables\data_quality_audit.csv,2.08
tables,dataset_overview_summary.csv,funwave_capstone_report_support_outputs\tables\dataset_overview_summary.csv,0.54
tables,heldout_model_comparison_detailed.csv,funwave_capstone_report_support_outputs\tables\heldout_model_comparison_detailed.csv,1.91
tables,high_correlation_feature_pairs.csv,funwave_capstone_report_support_outputs\tables\high_correlation_feature_pairs.csv,0.29
tables,loaded_table_inventory.csv,funwave_capstone_report_support_outputs\tables\loaded_table_inventory.csv,0.32
tables,metric_glossary.csv,funwave_capstone_report_support_outputs\tables\metric_glossary.csv,0.85
tables,model_training_configuration_summary.csv,funwave_capstone_report_support_outputs\tables\model_training_configuration_summary.csv,0.85
tables,preprocessing_summary.csv,funwave_capstone_report_support_outputs\tables\preprocessing_summary.csv,0.31
tables,scalar_feature_correlation_matrix.csv,funwave_capstone_report_support_outputs\tables\scalar_feature_correlation_matrix.csv,1.67
tables,split_distribution_summary.csv,funwave_capstone_report_support_outputs\tables\split_distribution_summary.csv,2.32
tables,split_integrity_checks.csv,funwave_capstone_report_support_outputs\tables\split_integrity_checks.csv,0.13
tables,stage2_training_history_recovered.csv,funwave_capstone_report_support_outputs\tables\stage2_training_history_recovered.csv,0.37
tables,stage3_best_samples.csv,funwave_capstone_report_support_outputs\tables\stage3_best_samples.csv,1.3
tables,stage3_metric_percentiles.csv,funwave_capstone_report_support_outputs\tables\stage3_metric_percentiles.csv,0.3
tables,stage3_training_history_recovered.csv,funwave_capstone_report_support_outputs\tables\stage3_training_history_recovered.csv,0.46
tables,stage3_worst_samples.csv,funwave_capstone_report_support_outputs\tables\stage3_worst_samples.csv,1.44
tables,test_comparison_by_Hs_bin.csv,funwave_capstone_report_support_outputs\tables\test_comparison_by_Hs_bin.csv,2.53
tables,test_comparison_by_Tp_bin.csv,funwave_capstone_report_support_outputs\tables\test_comparison_by_Tp_bin.csv,2.41
tables,test_comparison_by_wet_bin.csv,funwave_capstone_report_support_outputs\tables\test_comparison_by_wet_bin.csv,2.51
tables,training_history_summary.csv,funwave_capstone_report_support_outputs\tables\training_history_summary.csv,0.22
tables,variable_dictionary.csv,funwave_capstone_report_support_outputs\tables\variable_dictionary.csv,2.26
