ok,source_path,run_id,profile_hash,n_x,n_t,x_min,x_max,z_min,z_max,t_min,t_max,Hs,Tp,t_prop,Xc_WK,has_period_var,period_len,file_size_mb
True,funwave_capstone_artifacts_v8_field\extracted_nc\E2\E2\nc_small_ali_00001.nc,input_00001,05939d552a98,873,7802,0.0,1044.12255859375,-1.07763671875,9.22735595703125,0.0,1170.19702,2.9293434619903564,10.0,146.28538032648106,293.3601185090381,True,62,11.16
True,funwave_capstone_artifacts_v8_field\extracted_nc\E2\E2\nc_small_ali_00002.nc,input_00002,c07f18c9a420,867,8431,0.0,1130.2474365234375,-3.587646484375,7.89239501953125,0.0,1264.52673,1.0733290910720825,10.810811042785645,158.07622036172341,319.7582367914217,True,62,10.781
True,funwave_capstone_artifacts_v8_field\extracted_nc\E2\E2\nc_small_ali_00004.nc,input_00004,b0791040e0c7,725,7753,0.0,1274.453125,-2.677978515625,8.68597412109375,0.0,1162.85425,2.2032017707824707,14.285714149475098,145.36968834543114,431.2721193856537,True,62,8.862
True,funwave_capstone_artifacts_v8_field\extracted_nc\E2\E2\nc_small_ali_00005.nc,input_00005,d1cde9916358,882,8137,0.0,1054.8990478515625,-1.5792236328125,8.16375732421875,0.0,1220.39758,0.7924206256866455,10.0,152.56605787997438,293.3601185090381,True,62,10.433
True,funwave_capstone_artifacts_v8_field\extracted_nc\E2\E2\nc_small_ali_00006.nc,input_00006,4545c47a2d57,923,8645,0.0,1103.991943359375,-3.056396484375,7.7615966796875,0.0,1296.62146,0.4111354947090149,10.0,162.08155395627767,293.3601185090381,True,62,10.79
True,funwave_capstone_artifacts_v8_field\extracted_nc\E2\E2\nc_small_ali_00007.nc,input_00007,1b89d4017130,1040,8529,0.0,986.5833740234375,-3.56488037109375,8.28509521484375,0.0,1279.23669,0.5784699320793152,8.163265228271484,159.91360802509456,232.63996947533815,True,62,12.432
True,funwave_capstone_artifacts_v8_field\extracted_nc\E2\E2\nc_small_ali_00008.nc,input_00008,b3ccdf914076,1199,9079,0.0,927.2052612304688,-1.795654296875,7.6173095703125,0.0,1361.7384,0.5021681785583496,6.896552085876465,170.23149291847275,189.62044451487992,True,62,14.922
True,funwave_capstone_artifacts_v8_field\extracted_nc\E2\E2\nc_small_ali_00010.nc,input_00010,8d6d2080cd73,883,8020,0.0,1056.096435546875,-1.729736328125,8.53924560546875,0.0,1202.87634,0.564581573009491,10.0,150.3718399501647,293.3601185090381,True,62,10.023
True,funwave_capstone_artifacts_v8_field\extracted_nc\E2\E2\nc_small_ali_00011.nc,input_00011,140ed4e9c84b,959,8370,0.0,1057.59326171875,-2.064697265625,8.67828369140625,0.0,1255.35132,0.46665236353874207,9.302325248718262,156.93021091361436,270.4700892441342,True,62,8.155
True,funwave_capstone_artifacts_v8_field\extracted_nc\E2\E2\nc_small_ali_00012.nc,input_00012,75bfcd4ce0a4,964,8558,0.0,1063.113037109375,-3.33990478515625,8.21209716796875,0.0,1283.57629,0.9981657266616821,9.302325248718262,160.44976087773756,270.4700892441342,True,62,13.308
True,funwave_capstone_artifacts_v8_field\extracted_nc\E2\E2\nc_small_ali_00013.nc,input_00013,edc9567c41ba,749,7732,0.0,1181.9942626953125,-1.5487060546875,8.52130126953125,0.0,1159.71387,2.8404548168182373,12.903225898742676,144.9657909733573,387.1505344034428,True,62,10.155
True,funwave_capstone_artifacts_v8_field\extracted_nc\E2\E2\nc_small_ali_00014.nc,input_00014,7ee49bfe29c6,897,8339,0.0,1072.85986328125,-2.13714599609375,8.14984130859375,0.0,1250.72339,0.7843383550643921,10.0,156.34573132970527,293.3601185090381,True,62,11.7
True,funwave_capstone_artifacts_v8_field\extracted_nc\E2\E2\nc_small_ali_00015.nc,input_00015,2ca2802cf64c,890,8432,0.0,1160.265625,-6.1964111328125,8.62054443359375,0.0,1264.6842,1.0338698625564575,10.810811042785645,158.09488114555035,319.7582367914217,True,62,11.781
True,funwave_capstone_artifacts_v8_field\extracted_nc\E2\E2\nc_small_ali_00016.nc,input_00016,77feb3bedc53,773,8112,0.0,1219.919189453125,-3.152587890625,7.9273681640625,0.0,1216.68396,0.7402468323707581,12.903225898742676,152.103333061838,387.1505344034428,True,62,9.718
True,funwave_capstone_artifacts_v8_field\extracted_nc\E2\E2\nc_small_ali_00017.nc,input_00017,bff4c22e7d4a,860,8120,0.0,1121.111572265625,-3.405029296875,8.84698486328125,0.0,1217.86157,0.6304387450218201,10.810811042785645,152.25220269803668,319.7582367914217,True,62,10.643
True,funwave_capstone_artifacts_v8_field\extracted_nc\E2\E2\nc_small_ali_00018.nc,input_00018,4b593891d787,944,8518,0.0,1041.0338134765625,-3.1851806640625,7.82379150390625,0.0,1277.5769,1.3031224012374878,9.302325248718262,159.69734604893006,270.4700892441342,True,62,12.644
True,funwave_capstone_artifacts_v8_field\extracted_nc\E2\E2\nc_small_ali_00019.nc,input_00019,af4dff97f823,908,8285,0.0,1086.0311279296875,-3.0152587890625,8.5797119140625,0.0,1242.60718,0.4212264120578766,10.0,155.3381042767078,293.3601185090381,True,62,11.083
True,funwave_capstone_artifacts_v8_field\extracted_nc\E2\E2\nc_small_ali_00020.nc,input_00020,e948c5b2b097,853,8118,0.0,1111.9755859375,-1.56329345703125,8.5906982421875,0.0,1217.61548,1.091399908065796,10.810811042785645,152.20509995943183,319.7582367914217,True,62,11.272
True,funwave_capstone_artifacts_v8_field\extracted_nc\E2\E2\nc_small_ali_00023.nc,input_00023,8d9f9c176a81,994,8483,0.0,1014.896728515625,-1.8045654296875,8.2054443359375,0.0,1272.32935,0.5229219794273376,8.69565200805664,159.05563040002943,250.40250975540772,True,62,13.0
True,funwave_capstone_artifacts_v8_field\extracted_nc\E2\E2\nc_small_ali_00027.nc,input_00027,d8196ece211a,1024,9078,0.0,1129.3505859375,-6.6729736328125,8.07000732421875,0.0,1361.59619,1.932190179824829,9.302325248718262,170.20260461828795,270.4700892441342,True,62,15.532
True,funwave_capstone_artifacts_v8_field\extracted_nc\E2\E2\nc_small_ali_00028.nc,input_00028,8d34ae78da6b,686,7606,0.0,1357.922607421875,-2.217529296875,8.58148193359375,0.0,1140.80664,0.47824275493621826,16.0,142.60504423880715,485.6803356680588,True,62,7.907
True,funwave_capstone_artifacts_v8_field\extracted_nc\E2\E2\nc_small_ali_00030.nc,input_00030,d5735595ba90,856,8271,0.0,1115.8909912109375,-2.17724609375,8.4417724609375,0.0,1240.50037,0.4666765332221985,10.810811042785645,155.08411426248392,319.7582367914217,True,62,10.883
True,funwave_capstone_artifacts_v8_field\extracted_nc\E2\E2\nc_small_ali_00031.nc,input_00031,0986427de169,826,8334,0.0,1180.5665283203125,-2.716796875,7.82318115234375,0.0,1249.98584,1.3586132526397705,11.764705657958984,156.25231804936112,350.59248015198995,True,62,11.331
True,funwave_capstone_artifacts_v8_field\extracted_nc\E2\E2\nc_small_ali_00032.nc,input_00032,0c97619e357f,1100,8815,0.0,972.4351196289062,-2.09197998046875,7.98687744140625,0.0,1322.09973,1.1549590826034546,7.692307949066162,165.26888841692454,216.78489796173628,True,62,15.682
True,funwave_capstone_artifacts_v8_field\extracted_nc\E2\E2\nc_small_ali_00035.nc,input_00035,0cdbdb923d04,762,7989,0.0,1202.5369873046875,-2.07806396484375,7.89593505859375,0.0,1198.20947,1.02433443069458,12.903225898742676,149.7770377933843,387.1505344034428,True,62,9.635
True,funwave_capstone_artifacts_v8_field\extracted_nc\E2\E2\nc_small_ali_00038.nc,input_00038,a06ae98800d6,1015,8730,0.0,1036.3597412109375,-2.88812255859375,7.98291015625,0.0,1309.39307,2.949192762374878,8.69565200805664,163.6855849351163,250.40250975540772,True,62,15.252
True,funwave_capstone_artifacts_v8_field\extracted_nc\E2\E2\nc_small_ali_00047.nc,input_00047,cd1412698f75,915,8535,0.0,1094.412841796875,-3.8154296875,8.049560546875,0.0,1280.10608,0.5365163087844849,10.0,160.03527716581945,293.3601185090381,True,62,11.993
True,funwave_capstone_artifacts_v8_field\extracted_nc\E2\E2\nc_small_ali_00048.nc,input_00048,c9a386a535d8,772,7766,0.0,1103.2930908203125,-1.619873046875,8.05810546875,0.0,1164.80139,0.5051260590553284,11.764705657958984,145.60057939872053,350.59248015198995,True,62,9.199
True,funwave_capstone_artifacts_v8_field\extracted_nc\E2\E2\nc_small_ali_00049.nc,input_00049,f0dbe4c7620b,916,8891,0.0,1194.1990966796875,-3.38409423828125,7.88299560546875,0.0,1333.56519,1.033394455909729,10.810811042785645,166.69772299662347,319.7582367914217,True,62,13.277
True,funwave_capstone_artifacts_v8_field\extracted_nc\E2\E2\nc_small_ali_00054.nc,input_00054,824b6f56f2ed,701,7521,0.0,1232.2060546875,-1.0618896484375,8.65606689453125,0.0,1128.01648,0.7933984994888306,14.285714149475098,141.02383292837624,431.2721193856537,True,62,8.363
True,funwave_capstone_artifacts_v8_field\extracted_nc\E2\E2\nc_small_ali_00055.nc,input_00055,3dbfb76f1e91,908,8741,0.0,1183.758056640625,-2.61810302734375,8.16192626953125,0.0,1311.02283,1.146059274673462,10.810811042785645,163.89035968733387,319.7582367914217,True,62,13.025
True,funwave_capstone_artifacts_v8_field\extracted_nc\E2\E2\nc_small_ali_00057.nc,input_00057,951dd1daa9e3,869,8301,0.0,1132.8577880859375,-5.81298828125,8.34503173828125,0.0,1245.03015,0.6417960524559021,10.810811042785645,155.6304690686821,319.7582367914217,True,62,11.343
True,funwave_capstone_artifacts_v8_field\extracted_nc\E2\E2\nc_small_ali_00058.nc,input_00058,4222d4533700,980,8800,0.0,1080.7763671875,-2.08270263671875,7.747314453125,0.0,1319.87268,0.9135133624076843,9.302325248718262,164.9984365406471,270.4700892441342,True,62,13.878
True,funwave_capstone_artifacts_v8_field\extracted_nc\E2\E2\nc_small_ali_00059.nc,input_00059,21ec90f928fa,2105,11736,0.0,855.2471313476562,-3.92779541015625,8.07122802734375,0.0,1760.26001,0.8290444612503052,4.395604133605957,220.03466539383908,99.5891361950465,True,62,38.393
True,funwave_capstone_artifacts_v8_field\extracted_nc\E2\E2\nc_small_ali_00060.nc,input_00060,0e6522dffade,1071,8878,0.0,1016.0194702148438,-2.262939453125,7.86309814453125,0.0,1331.59949,0.8186898827552795,8.163265228271484,166.4651620471265,232.63996947533815,True,62,15.277
True,funwave_capstone_artifacts_v8_field\extracted_nc\E2\E2\nc_small_ali_00061.nc,input_00061,410f45235462,905,8328,0.0,1082.43896484375,-2.20660400390625,8.17138671875,0.0,1249.06934,0.8896462321281433,10.0,156.14190089793664,293.3601185090381,True,62,12.022
True,funwave_capstone_artifacts_v8_field\extracted_nc\E2\E2\nc_small_ali_00062.nc,input_00062,b47598e3ab71,842,8204,0.0,1097.619140625,-2.02703857421875,7.75897216796875,0.0,1230.49976,0.5014538168907166,10.810811042785645,153.81248463642137,319.7582367914217,True,62,10.555
True,funwave_capstone_artifacts_v8_field\extracted_nc\E2\E2\nc_small_ali_00063.nc,input_00063,18ac53d99795,1041,8476,0.0,987.532958984375,-2.183837890625,8.3731689453125,0.0,1271.25342,2.9925403594970703,8.163265228271484,158.92490488983873,232.63996947533815,True,62,15.594
True,funwave_capstone_artifacts_v8_field\extracted_nc\E2\E2\nc_small_ali_00064.nc,input_00064,8f70eaeb7da8,1142,8979,0.0,1009.5982666015625,-2.78759765625,8.21240234375,0.0,1346.70642,0.9350809454917908,7.692307949066162,168.3404811989299,216.78489796173628,True,62,16.666
True,funwave_capstone_artifacts_v8_field\extracted_nc\E2\E2\nc_small_ali_00065.nc,input_00065,86c5e9502b61,981,8462,0.0,1001.6100463867188,-2.82244873046875,7.97454833984375,0.0,1269.2019,0.64152991771698,8.69565200805664,158.65705636543285,250.40250975540772,True,62,12.924
