run_id,profile_hash,cache_path,source_path,n_stations,nt,dt,Hs,Tp,offshore_x,offshore_depth,trim_start
input_00004,b0791040e0c7,funwave_capstone_station_artifacts\cache\processed_station_runs\nc_small_ali_00004__21b8ea26673ffbbc.joblib,funwave_capstone_artifacts_v8_field\extracted_nc\E2\E2\nc_small_ali_00004.nc,10,1630,0.6,2.2032017707824707,14.285714149475098,556.2529907226562,8.67388916015625,185.36968834543114
input_00008,b3ccdf914076,funwave_capstone_station_artifacts\cache\processed_station_runs\nc_small_ali_00008__9c54377c01ed09d6.joblib,funwave_capstone_artifacts_v8_field\extracted_nc\E2\E2\nc_small_ali_00008.nc,10,1920,0.6,0.5021681785583496,6.896552085876465,244.57167053222656,7.61090087890625,210.23149291847275
input_00017,bff4c22e7d4a,funwave_capstone_station_artifacts\cache\processed_station_runs\nc_small_ali_00017__880832cc853a2aca.joblib,funwave_capstone_artifacts_v8_field\extracted_nc\E2\E2\nc_small_ali_00017.nc,10,1710,0.6,0.6304387450218201,10.810811042785645,412.4228820800781,8.840576171875,192.25220269803668
input_00070,c346d1bd4c66,funwave_capstone_station_artifacts\cache\processed_station_runs\nc_small_ali_00070__4b5a90111e2c9cf7.joblib,funwave_capstone_artifacts_v8_field\extracted_nc\E2\E2\nc_small_ali_00070.nc,10,1852,0.6,1.2866628170013428,9.302325248718262,348.8512268066406,7.91815185546875,204.40459216772317
input_00077,c26162619f82,funwave_capstone_station_artifacts\cache\processed_station_runs\nc_small_ali_00077__87d51cd73eaeb152.joblib,funwave_capstone_artifacts_v8_field\extracted_nc\E2\E2\nc_small_ali_00077.nc,10,1853,0.6,0.5971080660820007,9.302325248718262,348.8512268066406,7.658203125,204.48329608923825
input_00084,6d9766b3e333,funwave_capstone_station_artifacts\cache\processed_station_runs\nc_small_ali_00084__01f51e59973c2b5e.joblib,funwave_capstone_artifacts_v8_field\extracted_nc\E2\E2\nc_small_ali_00084.nc,10,1823,0.6,0.8956125974655151,8.69565200805664,322.9681396484375,8.095703125,201.89031026870083
input_00089,110427d9a0d5,funwave_capstone_station_artifacts\cache\processed_station_runs\nc_small_ali_00089__8ba8305f52efb11a.joblib,funwave_capstone_artifacts_v8_field\extracted_nc\E2\E2\nc_small_ali_00089.nc,10,1780,0.6,0.9729244112968445,10.810811042785645,412.4228820800781,8.21795654296875,198.24291040311556
input_00100,ac5bc643614e,funwave_capstone_station_artifacts\cache\processed_station_runs\nc_small_ali_00100__fe65a5b251b0e551.joblib,funwave_capstone_artifacts_v8_field\extracted_nc\E2\E2\nc_small_ali_00100.nc,10,1904,0.6,1.8121511936187744,8.69565200805664,322.9681396484375,7.8448486328125,208.8790073686516
input_00101,1ff28dca95ed,funwave_capstone_station_artifacts\cache\processed_station_runs\nc_small_ali_00101__549e6da470d9313f.joblib,funwave_capstone_artifacts_v8_field\extracted_nc\E2\E2\nc_small_ali_00101.nc,10,1597,0.6,0.39756160974502563,16.0,626.4285278320312,8.2979736328125,182.53636880355867
input_00108,881ec8fc4228,funwave_capstone_station_artifacts\cache\processed_station_runs\nc_small_ali_00108__66a2fa5a624a2ca1.joblib,funwave_capstone_artifacts_v8_field\extracted_nc\E2\E2\nc_small_ali_00108.nc,10,1745,0.6,1.4098418951034546,10.0,378.37469482421875,8.7236328125,195.2609098705556
