ok,source_path,run_id,profile_hash,n_x,n_t,x_min,x_max,z_min,z_max,t_min,t_max,Hs,Tp,t_prop,Xc_WK,has_period_var,period_len,file_size_mb
True,funwave_capstone_artifacts_v8_field\extracted_nc\E2\E2\nc_small_ali_00004.nc,input_00004,b0791040e0c7,725,7753,0.0,1274.453125,-2.677978515625,8.68597412109375,0.0,1162.85425,2.2032017707824707,14.285714149475098,145.36968834543114,431.2721193856537,True,62,8.862
True,funwave_capstone_artifacts_v8_field\extracted_nc\E2\E2\nc_small_ali_00008.nc,input_00008,b3ccdf914076,1199,9079,0.0,927.2052612304688,-1.795654296875,7.6173095703125,0.0,1361.7384,0.5021681785583496,6.896552085876465,170.23149291847275,189.62044451487992,True,62,14.922
True,funwave_capstone_artifacts_v8_field\extracted_nc\E2\E2\nc_small_ali_00017.nc,input_00017,bff4c22e7d4a,860,8120,0.0,1121.111572265625,-3.405029296875,8.84698486328125,0.0,1217.86157,0.6304387450218201,10.810811042785645,152.25220269803668,319.7582367914217,True,62,10.643
True,funwave_capstone_artifacts_v8_field\extracted_nc\E2\E2\nc_small_ali_00070.nc,input_00070,c346d1bd4c66,979,8769,0.0,1079.6724853515625,-2.84051513671875,7.92547607421875,0.0,1315.23132,1.2866628170013428,9.302325248718262,164.40459216772317,270.4700892441342,True,62,13.832
True,funwave_capstone_artifacts_v8_field\extracted_nc\E2\E2\nc_small_ali_00077.nc,input_00077,c26162619f82,969,8773,0.0,1068.6328125,-3.21063232421875,7.66436767578125,0.0,1315.8103,0.5971080660820007,9.302325248718262,164.48329608923825,270.4700892441342,True,62,13.012
True,funwave_capstone_artifacts_v8_field\extracted_nc\E2\E2\nc_small_ali_00084.nc,input_00084,6d9766b3e333,1008,8635,0.0,1029.2054443359375,-2.15765380859375,8.10040283203125,0.0,1295.10132,0.8956125974655151,8.69565200805664,161.89031026870083,250.40250975540772,True,62,13.947
True,funwave_capstone_artifacts_v8_field\extracted_nc\E2\E2\nc_small_ali_00089.nc,input_00089,110427d9a0d5,876,8440,0.0,1141.99365234375,-2.7978515625,8.23016357421875,0.0,1265.91077,0.9729244112968445,10.810811042785645,158.24291040311556,319.7582367914217,True,62,11.684
True,funwave_capstone_artifacts_v8_field\extracted_nc\E2\E2\nc_small_ali_00100.nc,input_00100,ac5bc643614e,1034,9007,0.0,1055.7786865234375,-3.58160400390625,7.8533935546875,0.0,1350.93152,1.8121511936187744,8.69565200805664,168.8790073686516,250.40250975540772,True,62,15.524
True,funwave_capstone_artifacts_v8_field\extracted_nc\E2\E2\nc_small_ali_00101.nc,input_00101,1ff28dca95ed,682,7602,0.0,1349.9930419921875,-2.86859130859375,8.3214111328125,0.0,1140.22314,0.39756160974502563,16.0,142.53636880355867,485.6803356680588,True,62,7.588
True,funwave_capstone_artifacts_v8_field\extracted_nc\E2\E2\nc_small_ali_00108.nc,input_00108,881ec8fc4228,919,8281,0.0,1099.202392578125,-1.85845947265625,8.73150634765625,0.0,1242.01367,1.4098418951034546,10.0,155.2609098705556,293.3601185090381,True,62,12.859
True,funwave_capstone_artifacts_v8_field\extracted_nc\E2\E2\nc_small_ali_00139.nc,input_00139,da8452de45ac,1165,8650,0.0,962.2094116210938,-2.40020751953125,8.8427734375,0.0,1297.35632,1.0068477392196655,7.272727012634277,162.17926692441617,202.5268996891445,True,62,16.422
True,funwave_capstone_artifacts_v8_field\extracted_nc\E2\E2\nc_small_ali_00142.nc,input_00142,a191cbb447c6,909,8320,0.0,1002.395263671875,-2.8890380859375,7.54693603515625,0.0,1247.88855,0.5033140778541565,9.302325248718262,155.99219711517253,270.4700892441342,True,62,11.224
True,funwave_capstone_artifacts_v8_field\extracted_nc\E2\E2\nc_small_ali_00154.nc,input_00154,04752ee4efa1,993,8445,0.0,1013.8746337890625,-1.83624267578125,8.26177978515625,0.0,1266.60425,2.43330454826355,8.69565200805664,158.3356306602055,250.40250975540772,True,62,14.337
True,funwave_capstone_artifacts_v8_field\extracted_nc\E2\E2\nc_small_ali_00155.nc,input_00155,f19294164a91,972,8682,0.0,1071.9447021484375,-2.9073486328125,7.9676513671875,0.0,1302.15796,2.1872618198394775,9.302325248718262,162.77129996534708,270.4700892441342,True,62,14.491
True,funwave_capstone_artifacts_v8_field\extracted_nc\E2\E2\nc_small_ali_00172.nc,input_00172,486aa4d07234,704,7887,0.0,1393.605224609375,-6.915283203125,7.8909912109375,0.0,1182.91064,1.7627606391906738,16.0,147.86630820781437,485.6803356680588,True,62,9.033
True,funwave_capstone_artifacts_v8_field\extracted_nc\E2\E2\nc_small_ali_00173.nc,input_00173,1ec0598295ec,851,8232,0.0,1109.3653564453125,-2.1624755859375,8.01849365234375,0.0,1234.71191,0.7304491996765137,10.810811042785645,154.3516900361096,319.7582367914217,True,62,11.037
True,funwave_capstone_artifacts_v8_field\extracted_nc\E2\E2\nc_small_ali_00177.nc,input_00177,bc828b7cbb9d,823,8619,0.0,1298.9295654296875,-6.97418212890625,7.977294921875,0.0,1292.7312,0.2319706678390503,12.903225898742676,161.59709856855588,387.1505344034428,True,62,9.947
True,funwave_capstone_artifacts_v8_field\extracted_nc\E2\E2\nc_small_ali_00179.nc,input_00179,557a3e207e27,709,7750,0.0,1246.2884521484375,-2.0274658203125,7.51751708984375,0.0,1162.36987,0.7520846724510193,14.285714149475098,145.31549322772582,431.2721193856537,True,62,8.514
True,funwave_capstone_artifacts_v8_field\extracted_nc\E2\E2\nc_small_ali_00182.nc,input_00182,2da7c9819468,1040,8759,0.0,986.5833740234375,-2.64080810546875,7.835205078125,0.0,1313.69678,0.641929030418396,8.163265228271484,164.22004762786793,232.63996947533815,True,62,13.771
True,funwave_capstone_artifacts_v8_field\extracted_nc\E2\E2\nc_small_ali_00183.nc,input_00183,5605f85e67b8,704,7667,0.0,1237.4869384765625,-1.26715087890625,7.77886962890625,0.0,1149.9281,0.9293224215507507,14.285714149475098,143.7553093781638,431.2721193856537,True,62,8.471
